# el-Cevâhirü'l-mudıyye maddesi <tab> fakih id <tab> (yalnızca okumak için) madde başı · fakih adı
# Madde numarası tools/import_cevahir.py'nin verdiği sıra numarasıdır (kitaptaki sıraya göre, 1'den).
# Eşleşmeler ad zinciri, nisbe ve vefat yılına göre bulunup tek tek elle kontrol edildi.
501	kadi-ebu-ali-el-huseyin-b-hizir-en-nesefi	الحسين بن الخضر بن محمد بن يوسف · أبو علي الحسين بن خضر النسفي
504	sehabeddin-el-huseyin-b-suleyman-el-kefri-ed-dimaski	الحسين بن سليمان بن فزارة · الحسين بن سليمان الكفري
508	husameddin-el-huseyin-b-ali-es-signaki	الحسين بن علي بن الحجاج بن علي · حسام الدين السغناقي
509	kadi-ebu-abdullah-el-huseyin-b-ali-es-saymeri	الحسين بن علي بن محمد بن جعفر الصيمري أبو عبد الله · أبو عبد الله الصيمري
511	imaduddin-ebul-kasim-el-huseyin-b-ali-el-lamisi	الحسين بن علي أبي القاسم عماد الدين اللامشي أبو عل · الحسين بن علي اللامشي
524	necmeddin-el-huseyin-b-muhammed-el-bari	الحسين بن محمد البارع · الحسين بن محمد البارعي
532	hafs-b-giyas-en-nehai-el-kufi	حفص بن غياث بن طلق بن عمر المعروف بالنخعي · حفص بن غياث النخعي
538	kivameddin-ebul-mehamid-hammad-b-ibrahim-es-saffar	حماد بن إبراهيم بن إسماعيل بن أحمد بن إسحاق بن شيث · حماد بن إبراهيم الصفار
545	hammad-b-ebu-hanife	حماد بن النعمان · حماد بن أبي حنيفة
560	el-hattab-b-ebul-kasim-el-karahisari	الخطاب بن أبي القاسم القره حصارى · الخطاب بن أبي القاسم القره حصاري
566	ebu-said-halef-b-eyyub-el-belhi	خلف بن أيوب العامري البلخي · خلف بن أيوب البلخي
569	ebus-seraya-halife-b-suleyman-el-harezmi	خليفة بن سليمان بن خليفة بن محمد القرشي أبو السراي · خليفة بن سليمان الخوارزمي
577	serefeddin-davud-b-arslan	داود بن أرسلان بن غازي أبو المظفر · داود بن أرسلان
578	davud-b-resid-el-harezmi	داود بن رشيد · داود بن رشيد الخوارزمي
580	davud-b-osman-er-rumi	داود بن عثمان بن يعقوب الملقب شهاب الدين الرومي · داود بن عثمان الرومي
582	davud-b-isa-b-ebu-bekir-b-eyyub	داود بن عيسى بن أبي بكر بن أيوب بن سادير بن مروان  · داود بن عيسى الأيوبي
583	davud-b-agilbek-er-rumi-el-bedrut-tavil	داود بن عليك بن علي الرومي عرف بالبدر الطويل نشأ ب · داود بن أغلبك الرومي
586	necmeddin-davud-b-mervan-el-malati	داود بن مروان بن داود الملطي · داود بن مروان الملطي
599	zufer-b-el-huzeyl-el-basri	زفر بن الهذيل بن قيس العنبري البصري تكرر · زفر بن الهذيل
612	ebu-nasr-sad-b-abdullah-el-gaznevi	سعيد بن عبد الله بن أبي القاسم الغزنوي أبو نصر · سعد بن عبد الله الغزنوي
619	ebu-talib-said-b-muhammed-el-berdai	سعيد بن محمد أبو طالب البردعي · سعيد بن محمد البردعي
632	kadilkudat-sadreddin-ebur-rebi-suleyman-b-vehb	سليمان بن وهيب أبو الربيع بن أبي العز قاضي القضاة  · سليمان بن وهب
643	sazan-b-ibrahim-el-basri	شاذان بن إبراهيم · شاذان بن إبراهيم البصري
644	ebul-ganaim-suca-b-el-hasan-el-bagdadi	شجاع بن الحسن بن الفضل البغدادي أبو الغنائم · شجاع بن الحسن البغدادي
645	kadi-seddad-b-hakim-el-belhi	شداد بن حكيم · شداد بن حكيم البلخي
662	kadi-ebul-ala-said-b-muhammed-el-istivai	صاعد بن محمد بن أحمد بن عبيد الله أبو العلاء عماد  · صاعد بن محمد الاستوائي
663	kadi-ebul-ala-said-b-muhammed-ibnur-rasmendi	صاعد بن محمد بن عبد الرحمن أبو العلاء · ابن الراسمندي صاعد بن محمد
670	iftiharuddin-tahir-b-ahmed-el-buhari	طاهر بن أحمد بن عبد الرشيد · طاهر بن أحمد البخاري صاحب الخلاصة
674	necmeddin-ebu-tahir-munsin-nazar-el-hafsi	طاهر بن محمد بن عمران ابن أبي العباس الحفصي · أبو طاهر الحفصي منشي النظر
696	hafizuddin-ebul-berekat-abdullah-b-ahmed-en-nesefi	عبد الله بن أحمد بن محمود حافظ الدين أبو البركات ا · حافظ الدين النسفي
701	ebu-ali-abdullah-b-cafer-er-razi	عبد الله بن جعفر الرازي أبوعلي · عبد الله بن جعفر الرازي
705	ebu-muhammed-abdullah-b-el-huseyin-en-nasihi	عبد الله بن الحسين أبو محمد الناصحي قاضي القضاة وإ · عبد الله بن الحسين الناصحي
716	kadilkudat-cemaleddin-abdullah-b-ali-ibnut-turkmani	عبد الله بن علي بن عثمان الماردبني قاضي القضاة الم · عبد الله بن علي ابن التركماني
723	ebu-muhammed-abdullah-b-el-fazl-el-hayzahazi	عبد الله بن الفضل الخيزاخزي · عبد الله بن الفضل الخيزاخزي
725	ebu-abdurrahman-abdullah-b-el-mubarek-el-mervezi	عبد الله بن المبارك · عبد الله بن المبارك
734	kadilkudat-semseddin-abdullah-b-muhammed-el-ezrai	عبد الله بن محمد بن عطاء قاضي القضاة شمس الدين الأ · عبد الله بن محمد الأذرعي
739	ustad-ebu-muhammed-abdullah-b-muhammed-es-sebezmuni	عبد الله بن محمد بن يعقوب بن الحارث بن الخليل الحا · الأستاذ عبد الله بن محمد السبذموني
743	mecduddin-ebul-fazl-abdullah-b-mahmud-el-mevsili	عبد الله بن محمود بن مودود بن محمود الموصلي أبو ال · عبد الله بن محمود الموصلي
755	abdulcebbar-b-abdulkerim-el-hivari	عبد الجبار بن عبد الكريم الخواري أصله · عبد الجبار بن عبد الكريم الخواري
763	kadi-ebu-hazim-abdulhamid-b-abdulaziz	عبد الحميد بن عبد العزيز · أبو خازم عبد الحميد بن عبد العزيز
778	ebul-ferec-abdurrahman-b-suca-el-bagdadi	عبد الرحمن بن شجاع بن الحسن بن الفضل أبو الفرج · عبد الرحمن بن شجاع البغدادي
786	ruknulislam-ebul-fazl-abdurrahman-b-muhammed-el-kirmani	عبد الرحمن بن محمد بن أميرويه بن محمد بن إبراهيم ا · عبد الرحمن بن محمد الكرماني
789	abdurrahman-b-muhammed-el-haraki-en-nisaburi	عبد الرحمن بن محمد بن عبد الله بن الحسين النيسابور · عبد الرحمن بن محمد الخرقي
794	el-hakim-el-katib-abdurrahman-b-muhammed	عبد الرحمن بن محمد بن محمد بن محمد الكاتب الحاكم · عبد الرحمن بن محمد الكاتب الحاكم
802	seyfeddin-abdurrahim-b-ahmed-el-kermini	عبد الرحيم بن أحمد بن إسماعيل الكرميني المنعوت بسي · عبد الرحيم بن أحمد الكرميني
814	zahiruddin-ebul-feth-abdurresid-el-velvalici	عبد الرشيد بن أبي حنيفة بن عبد الرزاق بن عبد الله  · عبد الرشيد الولوالجي
