# Arapça ad	Fukahâ'daki fakih kimliği. Hoca ve talebe adlarından, farklı yazılsa da kaydı olan bir fakihe işaret edenler; elle doğrulandı.
أبوه برهان الدين عبد العزيز	burhanuleimme-burhaneddin-el-kebir-abdulaziz-b-omer-b-maze
برهان الأئمة عبد العزيز بن مازه	burhanuleimme-burhaneddin-el-kebir-abdulaziz-b-omer-b-maze
عبد العزيز بن عمر بن مازه	burhanuleimme-burhaneddin-el-kebir-abdulaziz-b-omer-b-maze
أبوه برهان الدين محمود صاحب المحيط	burhaneddin-mahmud-b-ahmed-b-maze
صاحب المحيط	burhaneddin-mahmud-b-ahmed-b-maze
أبوه بكر الزرنجري	semsuleimme-ebul-fazl-bekr-b-muhammed-ez-zerenceri
ابنه بكر الزرنجري	semsuleimme-ebul-fazl-bekr-b-muhammed-ez-zerenceri
شمس الأئمة بكر الزرنجري	semsuleimme-ebul-fazl-bekr-b-muhammed-ez-zerenceri
شمس الأئمة بكر بن محمد الزرنجري	semsuleimme-ebul-fazl-bekr-b-muhammed-ez-zerenceri
بكر بن محمد الزرنجري	semsuleimme-ebul-fazl-bekr-b-muhammed-ez-zerenceri
عماد الدين عمر الزرنجري	semsuleimme-imaduddin-omer-b-bekr-ez-zerenceri
أبوه جمال الدين عبيد الله المحبوبي	cemaleddin-ubeydullah-b-ibrahim-el-mahbubi
عبيد الله بن إبراهيم المحبوبي	cemaleddin-ubeydullah-b-ibrahim-el-mahbubi
أبوه صدر الشريعة أحمد	sadrusseria-el-ekber-semseddin-ahmed-b-ubeydullah-el-mahbubi
ابن ابنه صدر الشريعة عبيد الله بن مسعود	sadrusseria-el-asgar-ubeydullah-b-mesud-el-mahbubi
ابنه تاج الشريعة محمود بن أحمد	tacusseria-mahmud-b-ahmed-el-mahbubi
جده تاج الشريعة محمود بن صدر الشريعة	tacusseria-mahmud-b-ahmed-el-mahbubi
أبوه جمال الدين محمود الحصيري	cemaleddin-ebul-mehamid-mahmud-b-ahmed-el-hasiri
