# Arapça	Türkçe okunuş (hoca ve talebe adları; fakihlerin kendi sayfası olanlar orada yazıldığı gibi alınır)
ابنه أبو المعالي أحمد	oğlu Ebu'l-Meali Ahmed
ابنه أبو حفص الصغير	oğlu Ebu Hafs es-Sagir
ابنه أبو سعد محمد بن صاعد	oğlu Ebu Sa'd Muhammed b. Saıd
ابنه أبو نصر أحمد	oğlu Ebu Nasr Ahmed
ابنه أبو نصر أحمد بن إسحاق الصفار	oğlu Ebu Nasr Ahmed b. İshak es-Saffar
ابنه أحمد	oğlu Ahmed
ابنه أحمد الخصاف	oğlu Ahmed el-Hassaf
ابنه إسماعيل	oğlu İsmail
ابنه الصدر السعيد أحمد	oğlu es-Sadrü's-Said Ahmed
ابنه الصدر الشهيد عمر	oğlu es-Sadrü'ş-Şehid Ömer
ابنه القاضي أبو الحسين أحمد	oğlu Kadı Ebu'l-Hüseyn Ahmed
ابنه القاضي أبو علي إسماعيل	oğlu Kadı Ebu Ali İsmail
ابنه الناصر داود	oğlu en-Nasır Davud
ابنه برهان الدين أحمد	oğlu Burhanüddin Ahmed
ابنه بكر الزرنجري	oğlu Bekir ez-Zerenceri
ابنه تاج الشريعة محمود بن أحمد	oğlu Tacüşşeria Mahmud b. Ahmed
ابنه جلال الدين محمد	oğlu Celaleddin Muhammed
ابنه جمال الدين محمود	oğlu Cemaleddin Mahmud
ابنه حافظ الدين محمد البزازي	oğlu Hafızüddin Muhammed el-Bezzazi
ابنه سراج الدين عمر	oğlu Siraceddin Ömer
ابنه سعد الدين الديري	oğlu Sa'deddin ed-Deyri
ابنه شمس الأئمة محمود الأوزجندي	oğlu Şemsüleimme Mahmud el-Özcendi
ابنه صاحب الخلاصة	oğlu, el-Hulasa müellifi
ابنه صدر الإسلام طاهر	oğlu Sadrülislam Tahir
ابنه ظهير الدين الحسن	oğlu Zahirüddin el-Hasan
ابنه ظهير الدين علي	oğlu Zahirüddin Ali
ابنه عبد الرحيم صاحب الفصول العمادية	oğlu Abdürrahim, el-Fusulü'l-İmadiyye müellifi
ابنه عبد العزيز	oğlu Abdülaziz
ابنه عبد الله	oğlu Abdullah
ابنه علاء الدين محمد	oğlu Alaeddin Muhammed
ابنه عماد الدين	oğlu İmadüddin
ابنه مجد الدين عبد الرحمن	oğlu Mecdüddin Abdurrahman
ابنه مجد الدين محمد	oğlu Mecdüddin Muhammed
ابنه محمد	oğlu Muhammed
ابنه محمد ابن السراج	oğlu Muhammed İbnü's-Sirac
ابنه محمد الناصحي	oğlu Muhammed en-Nasıhi
ابنه محمد بن أحمد	oğlu Muhammed b. Ahmed
ابنه محمد بن سليمان	oğlu Muhammed b. Süleyman
ابنه محمد بن مسعود	oğlu Muhammed b. Mes'ud
ابنه محمد بن يوسف ابن الأبيض	oğlu Muhammed b. Yusuf İbnü'l-Ebyaz
ابنه محمد شاه	oğlu Muhammed Şah
ابنه محمود	oğlu Mahmud
ابنه محمود صاحب الذخيرة	oğlu Mahmud, ez-Zahire müellifi
ابنه نظام الدين عمر	oğlu Nizameddin Ömer
ابنه يوسف بالي	oğlu Yusuf Bali
افتخار الدين طاهر صاحب الخلاصة	İftiharüddin Tahir, el-Hulasa müellifi
الأستاذ عبد الله السبذموني	Üstad Abdullah es-Sebezmuni
الأعمش	el-A'meş
الأوزاعي	el-Evzai
البخاري	el-Buhari
البدر ابن جماعة	el-Bedr İbn Cemaa
البدر الأبيض محمد بن يوسف	el-Bedr el-Ebyaz Muhammed b. Yusuf
البدر الأبيض يوسف	el-Bedr el-Ebyaz Yusuf
البدر الطويل داود الرومي	el-Bedr et-Tavil Davud er-Rumi
البدر محمود الكلستاني	el-Bedr Mahmud el-Gülistani
البرزالي	el-Birzali
البرهان حيدر	el-Burhan Haydar
البساطي	el-Bisati
الترمذي	et-Tirmizi
الجمال أبو نصر أحمد بن عبد الرحمن الريغدموني	el-Cemal Ebu Nasr Ahmed b. Abdurrahman er-Rigdemuni
الجمال يوسف الملطي	el-Cemal Yusuf el-Malati
الحاكم أبو إسحاق النوقدي	el-Hakim Ebu İshak en-Nukadi
الحاكم أبو عمرو محمد بن عبد العزيز القنطري	el-Hakim Ebu Amr Muhammed b. Abdülaziz el-Kantari
الحجاج بن أرطاة	el-Haccac b. Ertat
الحسن بن زياد	el-Hasan b. Ziyad
الحسين بن الحسن المقدسي	el-Hüseyn b. el-Hasan el-Makdisi
الحسين بن علي الصيمري	el-Hüseyn b. Ali es-Saymeri
الخطيب البغدادي	el-Hatib el-Bağdadi
الدبوسي	ed-Debusi
الدمياطي	ed-Dimyati
الدهقان محمد بن الحسن الكاساني	ed-Dihkan Muhammed b. el-Hasan el-Kasani
الرشيد العطار	er-Reşid el-Attar
الزندويستي	ez-Zendevisti
الزين البقالي محمد بن أبي القاسم	ez-Zeyn el-Bakkali Muhammed b. Ebi'l-Kasım
السمعاني	es-Sem'ani
السيد أبو شجاع	es-Seyyid Ebu Şuca'
السيد الأشرف	es-Seyyid el-Eşref
السيد الشريف علي الجرجاني	es-Seyyid eş-Şerif Ali el-Cürcani
السيد جلال الدين الكرلاني	es-Seyyid Celaleddin el-Kürlani
السيد محمد النقيب	es-Seyyid Muhammed en-Nakib
السيد ناصر الدين الشهيد السمرقندي	es-Seyyid Nasıreddin eş-Şehid es-Semerkandi
الشافعي	eş-Şafii
الشريف أبو هاشم	eş-Şerif Ebu Haşim
الشمس الحريري	eş-Şems el-Hariri
الشهاب بن المرحل	eş-Şihab b. el-Müreccil
الصدر الشهيد حسام الدين عمر	es-Sadrü'ş-Şehid Hüsameddin Ömer
الصدر الشهيد حسام الدين عمر بن مازه	es-Sadrü'ş-Şehid Hüsameddin Ömer b. Maze
الطحاوي	et-Tahavi
الطوسي	et-Tusi
الظهير أحمد بن علي البلخي	ez-Zahir Ahmed b. Ali el-Belhi
العلاء السيرامي	el-Ala es-Sirami
العلاء القونوي	el-Ala el-Konevi
العلاء بن التركماني	el-Ala İbnü't-Türkmani
العلاء بن المطرزي	el-Ala İbnü'l-Mutarrizi
الفخر ابن التركماني	el-Fahr İbnü't-Türkmani
الفضل بن موسى	el-Fadl b. Musa
القاضي أبو الهيثم عتبة	Kadı Ebu'l-Heysem Utbe
القاضي أبو خازم	Kadı Ebu Hazim
القاضي أبو خازم عبد الحميد	Kadı Ebu Hazim Abdülhamid
القاضي أبو طاهر الدباس	Kadı Ebu Tahir ed-Debbas
القاضي أبو علي الحسين النسفي	Kadı Ebu Ali el-Hüseyn en-Nesefi
القاضي أبو علي الحسين بن خضر النسفي	Kadı Ebu Ali el-Hüseyn b. Hızır en-Nesefi
القاضي أبو منصور محمد بن عبد الجبار السمعاني	Kadı Ebu Mansur Muhammed b. Abdülcebbar es-Sem'ani
القاضي إسحاق بن محمد الحكيم السمرقندي	Kadı İshak b. Muhammed el-Hakim es-Semerkandi
القاضي ظهير الدين البخاري	Kadı Zahirüddin el-Buhari
القاضي عبد العزيز بن عثمان النسفي	Kadı Abdülaziz b. Osman en-Nesefi
القاضي محمد بن الحسين الأرسابندي	Kadı Muhammed b. el-Hüseyn el-Ersabendi
القاضي محمد بن الحسين اليزدي	Kadı Muhammed b. el-Hüseyn el-Yezdi
الكلبي	el-Kelbi
الكمال السريجي	el-Kemal es-Süreyci
الليث	el-Leys
الليث بن المظفر	el-Leys b. el-Muzaffer
الليث بن سعد	el-Leys b. Sa'd
المؤيد الطوسي	el-Müeyyed et-Tusi
المجد التونسي	el-Mecd et-Tunusi
المحب ابن الشحنة	el-Muhib İbnü'ş-Şıhne
المزني	el-Müzeni
الملك المعظم عيسى	el-Melikü'l-Muazzam İsa
المنذري	el-Münziri
الموفق أحمد بن محمد خطيب خوارزم	el-Muvaffak Ahmed b. Muhammed, Harezm hatibi
المولى خضر بيك	Molla Hızır Bey
المولى خير الدين معلم السلطان سليمان	Molla Hayreddin, Sultan Süleyman'ın hocası
المولى لطفي	Molla Lutfi
المولى يكان	Molla Yegan
النسائي	en-Nesai
الهيثم بن أبي الهيثم	el-Heysem b. Ebi'l-Heysem
بدر الدين عمر بن عبد الكريم الورسكي	Bedreddin Ömer b. Abdülkerim el-Verseki
بدر الدين محمود بن إسرائيل	Bedreddin Mahmud b. İsrail
بدر الدين محمود بن الحسن العيني الشهركندي	Bedreddin Mahmud b. el-Hasan el-Ayni eş-Şehrkendi
برهان الأئمة عبد العزيز بن مازه	Burhanüleimme Abdülaziz b. Maze
برهان الدين الكبير عبد العزيز	Burhanüddin el-Kebir Abdülaziz
